name,description,imageUrl,tags,instagram,youtube,linkedin,link,whatsapp,meetup,nivel,pontuacao,linkCupom
6 e Byte,"Somos profissionais da área de tecnologia. Nesse canal temos um único propósito: Falar sobre tecnologia de uma maneira leve e discontraída, trazendo dos mais variados profissionais da área.",/2026/assets/images/comunidade_6_byte.jpg,Produto,https://www.instagram.com/6ebyte,https://www.youtube.com/@6ebyte,,,,,2,2,https://www.even3.com.br/agilebrazil2026-746128?cp=6eByte
DEVPIRA,"Somos uma comunidade feita de ""pessoal do TI"" para ""pessoal do TI"": programadores, POs, QAs, PMs, designers e apaixonados por pessoas e tecnologia. Sem fins lucrativos, disseminamos conhecimento em Piracicaba, onde “o peixe para”, mas a tecnologia avança e inspira novas pessoas.",/2026/assets/images/comunidade_devpira.png,Agilidade;Produto;Tecnologia;Desenvolvimento;Inteligência Artificial;Design;Liderança,https://www.instagram.com/devpira/,,,https://www.devpira.com.br/,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=DEVPIRA
Agile Campinas & região,"A comunidade Agile Campinas & Região é um grupo inclusivo para entusiastas da agilidade, do desenvolvimento de software a áreas como RH, Marketing, Financeiro e Jurídico. Missão: compartilhar conhecimento e fortalecer conexões. Diferencial: expandir a agilidade para cidades do interior.",/2026/assets/images/comunidade_agile_campinas.png,Agilidade;Produto;Liderança,https://www.instagram.com/agilecampinas/,,,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileCampinas
MINAS Conecta,"Somos uma comunidade voltada ao desenvolvimento acadêmico e profissional de mulheres e pessoas em diferentes momentos de carreira em STEM. Conectadas ao ecossistema mineiro, criamos pontes entre comunidades, empresas e iniciativas dos biomas tecnológicos mineiros.",/2026/assets/images/comunidade_minas_conecta.png,Desenvolvimento;Tecnologia;Design;Liderança,https://www.instagram.com/minasconecta.co/,,https://www.linkedin.com/company/minas-conecta/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=MINASConecta
DevLimeira,"O DevLimeira é uma comunidade criada para conectar pessoas da área de tecnologia, estudantes e entusiastas que compartilham interesse pelo universo tech.",/2026/assets/images/comunidade_dev_limeira.png,Desenvolvimento,https://www.instagram.com/devlimeira?igsh=MXFpbzNocm1neHZkbQ==,,https://www.linkedin.com/company/devlimeira/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=DevLimeira
Comunidade Progirls,"A ProGirls é uma comunidade criada para fortalecer o protagonismo feminino na tecnologia. Promovemos inclusão, aprendizado, colaboração e oportunidades, criando um ambiente seguro e acolhedor para mulheres crescerem, se desenvolverem e conquistarem espaço na área de TI.",/2026/assets/images/comunidade_pro_girl.png,Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,https://www.instagram.com/comunidade_progirls/,,https://www.linkedin.com/company/pro-girls/?viewAsMember=true,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=Progirls
Pipoca Ágil,"O Pipoca Ágil é um podcast e comunidade colaborativa sobre agilidade, inovação e gestão de projetos. Promove aprendizado, networking e troca de experiências por meio de lives, entrevistas e projetos colaborativos.",/2026/assets/images/comunidade_pipoca_agil.jpeg,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial,,https://youtube.com/@pipocaagil?si=NANblTHyrAS8q49t,https://www.linkedin.com/company/pipoca-%C3%A1gil/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=Pipocaagil
Associação Codaqui,"A Codaqui hoje atua como uma comunidade de comunidades, ajudando a fortalecer conexões e iniciativas locais.",/2026/assets/images/comunidade_codaqui.png,Desenvolvimento;Tecnologia,,,,https://www.codaqui.dev,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=Codaqui
Agile Serra Gaúcha,"A Comunidade Agile Serra Gaúcha nasceu em 2022 para conectar pessoas, empresas e entidades interessadas em agilidade. Promove eventos, workshops e ações voluntárias, incentivando aprendizado, networking e boas práticas ágeis, fortalecendo a mentalidade ágil na região.",/2026/assets/images/comunidade_agile_serra_gaucha.png,Agilidade;Tecnologia;Liderança,https://www.instagram.com/agileserragaucha/,,https://www.linkedin.com/company/agile-serra-ga-cha/posts/?feedView=all,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileSerraGaucha
Comunidade Ágil,"Criada em 2019 por Cinthya Ruys e Vitor Cardoso, a Comunidade Ágil promove trocas sobre Agilidade em um ambiente seguro. Presente no WhatsApp, LinkedIn, Instagram e podcast com +200 episódios, compartilha aprendizados, experiências e histórias reais da área.",/2026/assets/images/comunidade_agil.jpg,Desenvolvimento;Tecnologia,,,,https://comunidadeagil.com.br/,https://chat.whatsapp.com/BqGrdjmHiibGV5H1NKoNrc,,2,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ComunidadeAgil
AGILIZEM,"O Agilizem nasceu para compartilhar a rotina de profissionais da cultura Ágil na entrega de valor. Apoiamos quem inicia ou transita para agilidade, com entrevistas, conteúdos e experiências de especialistas, CEOs e protagonistas da transformação digital no mercado de TI.",/2026/assets/images/comunidade_agilizem_podcast.png,Agilidade,https://www.instagram.com/agilizempodcast/,,https://www.linkedin.com/company/agilizem-podcast/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AGILIZEM
Universo ÁGIL HUB,"🤩 Somos o primeiro HUB de AGILIDADE do mundo, acelerando futuros com resultados mais seguros e dinâmicos para pessoas (B2C), empresas (B2B) e governos (B2G). 🏆 Já impactamos +500 mil pessoas, +5 mil empresas em +60 países, com +2.600 encontros e +100 experts conectados.",/2026/assets/images/comunidade_universo_agil.png,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,,https://www.universoagilhub.com/youtube,https://www.universoagilhub.com/linkedin,,,,2,2,https://www.even3.com.br/agilebrazil2026-746128?cp=UniversoAGIL
